anno	provincia	localizzazione_incidente	tipo_di_strada	intersezione_o_non_interse3	segnaletica	condizioni_meteorologiche	natura_incidente	veicolo__a___et__conducente	veicolo__a___esito_conducente	veicolo__b___et__conducente	veicolo__b___esito_conducente	altri_veicoli_coinvolti	morti_entro_24_ore	morti_entro_30_giorni	feriti	Ora	trimestre
21	092	1	2	03	4	1	04	30-44	1	30-44	2	0	0	0	2	13	2
21	092	1	2	07	3	1	02	65+  	2	55-64	1	0	0	0	1	17	2
21	092	1	3	07	3	1	02	30-44	2	55-64	1	0	0	0	1	09	2
21	092	1	2	01	4	1	02	30-44	1	30-44	2	0	0	0	1	09	2
21	092	1	2	02	4	1	02	55-64	1	30-44	2	0	0	0	1	14	2
21	092	1	2	02	4	1	02	18-29	1	55-64	2	0	0	0	1	14	2
21	092	1	1	03	4	1	02	30-44	1	45-54	2	0	0	0	1	19	2
21	092	1	2	07	1	1	02	30-44	1	45-54	2	0	0	0	1	07	2
21	092	1	2	08	1	1	12	45-54	3	     	 	0	1	0	0	11	2
21	092	1	2	07	4	3	01	55-64	2	55-64	1	0	0	0	1	07	2
21	092	1	2	01	4	1	02	65+  	1	45-54	2	0	0	0	1	11	2
21	095	1	2	01	4	1	02	     	 	65+  	2	0	0	0	1	11	2
21	095	1	2	01	4	1	02	65+  	1	45-54	2	0	0	0	1	19	2
21	095	1	2	07	1	1	07	55-64	2	     	 	0	0	0	1	11	2
21	111	1	2	07	4	3	04	30-44	1	30-44	1	0	0	0	1	13	2
21	111	5	2	07	2	1	04	45-54	2	18-29	1	0	0	0	3	08	2
21	111	6	2	03	3	1	04	30-44	1	45-54	2	0	0	0	1	17	2
21	090	1	2	07	4	1	05	55-64	1	     	 	0	0	0	1	09	2
21	090	1	1	01	4	1	02	45-54	2	30-44	2	0	0	0	2	11	2
21	090	1	4	07	4	1	05	30-44	1	     	 	0	0	0	1	10	2
21	090	1	2	07	4	1	04	45-54	2	30-44	1	0	0	0	1	11	2
21	090	1	2	07	4	1	04	18-29	2	65+  	1	0	0	0	1	12	2
21	090	3	2	07	4	1	02	45-54	2	65+  	1	0	0	0	1	16	2
21	090	1	2	02	4	1	02	45-54	1	18-29	2	0	0	0	1	12	2
21	090	1	2	01	4	1	02	45-54	1	65+  	2	0	0	0	1	10	2
21	090	1	2	07	4	1	07	18-29	2	     	 	0	0	0	1	18	2
21	090	2	2	03	3	1	04	18-29	1	30-44	2	0	0	0	1	09	2
21	090	1	2	07	3	1	02	55-64	2	45-54	1	0	0	0	1	12	2
21	090	1	2	01	4	1	02	18-29	1	15-17	2	0	0	0	1	17	2
21	090	1	3	01	4	1	10	18-29	2	     	 	0	0	0	1	13	2
21	090	1	2	01	3	1	04	30-44	1	18-29	2	0	0	0	1	18	2
21	090	1	1	02	4	1	02	65+  	1	45-54	2	0	0	0	1	18	2
21	090	1	2	01	4	1	02	45-54	2	45-54	1	0	0	0	1	18	2
21	090	6	2	07	4	1	10	45-54	2	     	 	0	0	0	2	19	2
21	090	5	2	07	4	7	04	45-54	1	55-64	2	0	0	0	3	17	2
21	090	1	2	07	4	1	05	30-44	1	     	 	0	0	0	1	16	2
