anno,provincia,tipo_strada,tipo_carreggiata,punto_incidente,segnaletica,condizioni_meteorologiche,natura_incidente,altri_veicoli_coinvolti,morti_entro_24_ore,morti_entro_30_giorni,feriti,Ora,trimestre,hospital,police,school,popolazione_provincia,parco_veicolare
2022,Nuoro,Provinciale,Una carreggiata a doppio senso,Rettilineo,Assente,Sereno,Scontro laterale,0,0,0,2,23,2,5,27,10,200376,195555
2022,Nuoro,Statale,Due carreggiate,Rettilineo,Verticale e orizzontale,Sereno,Tamponamento,0,0,0,1,8,2,5,27,10,200376,195555
2022,Sud Sardegna,Comunale extraurbana,Una carreggiata a doppio senso,Rettilineo,Verticale,Sereno,Urto con veicolo in fermata o in arresto,0,0,0,2,12,2,10,22,15,337178,291340
2022,Sud Sardegna,Statale,Una carreggiata a doppio senso,Curva,Orizzontale,Sereno,Infortunio per caduta da veicolo,0,0,0,1,12,2,10,22,15,337178,291340
2022,Sud Sardegna,Strada urbana nell'abitato,Una carreggiata a doppio senso,Intersezione segnalata,Verticale e orizzontale,Altro,Scontro frontale-laterale,0,0,0,3,15,2,10,22,15,337178,291340
2022,Oristano,Statale,Una carreggiata a senso unico,Curva,Verticale e orizzontale,Altro,"Fuoriuscita, sbandamento",0,0,0,1,21,1,6,12,7,151655,372870
2022,Sud Sardegna,Statale,Una carreggiata a senso unico,Curva,Verticale e orizzontale,Sereno,Scontro frontale,0,0,0,1,16,2,10,22,15,337178,291340
2022,Sassari,Strada urbana nell'abitato,Una carreggiata a doppio senso,Rettilineo,Assente,Sereno,Investimento di pedoni,0,0,0,1,20,2,4,34,29,476516,446717
2022,Sud Sardegna,Strada urbana nell'abitato,Una carreggiata a doppio senso,Incrocio,Assente,Sereno,Investimento di pedoni,0,0,0,1,10,2,10,22,15,337178,291340
2022,Sassari,Strada urbana nell'abitato,Una carreggiata a doppio senso,Curva,Verticale e orizzontale,Sereno,"Fuoriuscita, sbandamento",0,0,0,1,18,2,4,34,29,476516,446717
2022,Sassari,Provinciale,Una carreggiata a doppio senso,Rettilineo,Assente,Sereno,Tamponamento,0,0,0,1,10,2,4,34,29,476516,446717
2022,Nuoro,Statale,Una carreggiata a doppio senso,Curva,Orizzontale,Sereno,Scontro frontale,0,0,0,3,10,2,5,27,10,200376,195555
2022,Oristano,Statale,Due carreggiate,Rettilineo,Assente,Sereno,Investimento di pedoni,0,0,0,1,10,2,6,12,7,151655,372870
2022,Sassari,Provinciale,Una carreggiata a doppio senso,Curva,Verticale e orizzontale,Sereno,Scontro laterale,0,0,0,2,13,2,4,34,29,476516,446717
2022,Oristano,Provinciale,Una carreggiata a doppio senso,Incrocio,Verticale e orizzontale,Sereno,Scontro frontale-laterale,0,0,0,2,16,2,6,12,7,151655,372870
2022,Oristano,Strada urbana nell'abitato,Una carreggiata a senso unico,Intersezione segnalata,Verticale e orizzontale,Sereno,Scontro frontale-laterale,0,0,0,2,21,2,6,12,7,151655,372870
2022,Sassari,Provinciale entro l'abitato,Una carreggiata a doppio senso,Intersezione con semaforo o vigile,Verticale e orizzontale,Sereno,Scontro frontale-laterale,0,0,0,1,8,2,4,34,29,476516,446717
2022,Oristano,Provinciale,Una carreggiata a doppio senso,Rettilineo,Assente,Sereno,Scontro laterale,0,0,0,1,15,2,6,12,7,151655,372870
2022,Cagliari,Statale,Una carreggiata a doppio senso,Rettilineo,Verticale e orizzontale,Sereno,Scontro laterale,0,0,0,1,16,2,4,19,35,421688,138903
2022,Sassari,Strada urbana nell'abitato,Una carreggiata a doppio senso,Rettilineo,Verticale e orizzontale,Sereno,Scontro laterale,0,0,0,1,19,2,4,34,29,476516,446717
2022,Oristano,Provinciale entro l'abitato,Una carreggiata a doppio senso,Rettilineo,Verticale,Sereno,Urto con ostacolo,0,0,0,1,2,2,6,12,7,151655,372870
2022,Nuoro,Strada urbana nell'abitato,Una carreggiata a doppio senso,Pendenza,Assente,Sereno,"Fuoriuscita, sbandamento",0,1,1,0,6,2,5,27,10,200376,195555
